# CLASS++ BBN forward reaction rates, JINA REACLIB seven-parameter form.
#
#   lambda = sum_sets exp( a0 + a1/T9 + a2/T9^(1/3) + a3*T9^(1/3)
#                            + a4*T9 + a5*T9^(5/3) + a6*ln(T9) )
#
# Units: two-body reactions  N_A<sigma v>  [cm^3 mol^-1 s^-1]
#        one-body reactions  lambda        [s^-1]
#
# REVERSE RATES ARE NOT IN THIS FILE and have no syntax here. They are
# derived by detailed balance in tools/bbn_rates.cpp from the nuclide
# degeneracies and masses in tools/bbn_nuclides.h, so that editing this
# file cannot break thermodynamic consistency.
#
# Lines with the same reaction name are summed. A reaction the code knows
# about but which is missing here is a fatal error, as is a reaction named
# here that the code does not know about.
#
# Weak n <-> p rates and free neutron decay are deliberately absent: they
# come from phase-space integrals normalized to the tau_n input.
#
# GENERATED by scripts/gen_bbn_rates.py -- do not hand-edit; regenerate.
# Source: JINA REACLIB via pynucastro 3.0.0
#
# Rate sources by label:
#   an06   Ando et al. 2006, PRC 74, 025809
#   cd08   Cyburt & Davids 2008, PRC 78, 064614
#   cf88   Caughlan & Fowler 1988, ADNDT 40, 283
#   db18   Damone et al. 2018 (n_TOF), PRL 121, 042701
#   de04   Descouvemont et al. 2004, ADNDT 88, 203
#   gi17   Gomez Inesta et al. 2017, ApJ 849, 134
#   go17   Gomez Inesta et al. 2017, ApJ 849, 134
#   pt05   Pizzone et al. 2005, A&A 438, 779
#   tu19   Tumino et al. 2019
#
# reaction         label                a0              a1              a2              a3              a4              a5              a6
  n(p,g)d          an06n    1.23687000e+01  0.00000000e+00  0.00000000e+00 -2.70618000e+00  1.17180000e-01 -3.12788000e-03  4.69127000e-01
  n(p,g)d          an06n    1.07548000e+01  0.00000000e+00  0.00000000e+00 -2.30472000e+00 -8.87862000e-01  1.37663000e-01  0.00000000e+00
  n(p,g)d          an06n    8.84688000e+00  0.00000000e+00  0.00000000e+00 -1.02082000e-02 -8.93959000e-02  6.96704000e-03  1.00000000e+00
  d(p,g)he3        de04     8.93525000e+00  0.00000000e+00 -3.72080000e+00  1.98654000e-01  0.00000000e+00  0.00000000e+00  3.33333000e-01
  d(p,g)he3        de04n    7.52898000e+00  0.00000000e+00 -3.72080000e+00  8.71782000e-01  0.00000000e+00  0.00000000e+00 -6.66667000e-01
  d(d,n)he3        gi17n    1.90876000e+01 -1.90020000e-04 -4.22920000e+00  1.69320000e+00 -8.55529000e-02 -1.35709000e-25 -7.34513000e-01
  d(d,p)t          go17n    1.88052000e+01  4.36209000e-05 -4.32296000e+00  1.91572000e+00 -8.15620000e-02 -3.28804000e-22 -8.79518000e-01
  he3(n,p)t        de04     1.92762000e+01  0.00000000e+00  0.00000000e+00  4.38557000e-02 -2.01527000e-01  1.53433000e-02  1.00000000e+00
  he3(n,p)t        de04     2.03787000e+01  0.00000000e+00  0.00000000e+00 -3.32788000e-01 -7.00485000e-01  9.76521000e-02  0.00000000e+00
  t(d,n)he4        de04     3.93457000e+01  0.00000000e+00 -4.52440000e+00 -1.64028000e+01  1.73103000e+00 -1.22966000e-01  2.31304000e+00
  t(d,n)he4        de04     2.51794000e+01  0.00000000e+00 -4.52440000e+00  3.50337000e-01  5.87470000e-01 -8.84909000e+00 -6.66667000e-01
  he3(d,p)he4      de04     4.12969000e+01  0.00000000e+00 -7.18200000e+00 -1.71349000e+01  1.36908000e+00 -8.14423000e-02  3.35395000e+00
  he3(d,p)he4      de04     2.46839000e+01  0.00000000e+00 -7.18200000e+00  4.73288000e-01  1.46847000e+00 -2.79603000e+01 -6.66667000e-01
  he3(he4,g)be7    cd08n    1.77075000e+01  0.00000000e+00 -1.28271000e+01 -3.81260000e+00  9.42285000e-02 -3.01018000e-03  1.33333000e+00
  he3(he4,g)be7    cd08n    1.56099000e+01  0.00000000e+00 -1.28271000e+01 -3.08225000e-02 -6.54685000e-01  8.96331000e-02 -6.66667000e-01
  t(he4,g)li7      de04     1.36162000e+01  0.00000000e+00 -8.08050000e+00 -2.17514000e-01 -1.14859000e-01  4.70043000e-02 -6.66667000e-01
  be7(n,p)li7      db18     2.17899000e+01  7.28098000e-04 -3.02540000e-01 -3.60200000e-01  1.74720000e-01 -2.23000000e-02 -4.58100000e-01
  li7(p,he4)he4    de04r    2.18999000e+01 -2.61527000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.50000000e+00
  li7(p,he4)he4    de04     2.04438000e+01  0.00000000e+00 -8.47270000e+00  2.97934000e-01  5.82335000e-02 -4.13383000e-03 -6.66667000e-01
  li7(p,he4)he4    de04r    1.42538000e+01 -4.47800000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.50000000e+00
  li7(p,he4)he4    de04     1.19576000e+01  0.00000000e+00 -8.47270000e+00  4.17943000e-01  5.34565000e+00 -4.86840000e+00 -6.66667000e-01
  he4(d,g)li6      tu19r    4.12313000e+00 -7.88900000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.50000000e+00
  he4(d,g)li6      tu19n   -6.76485000e-01  6.39110000e-05 -7.55198000e+00  5.77546000e+00 -4.87854000e-01  3.28330000e-02 -1.12305000e+00
  li6(p,he4)he3    pt05n    2.43475000e+01  0.00000000e+00 -8.39481000e+00 -1.65254000e-01 -1.69360000e-01  5.33676000e-02 -6.66667000e-01
  t(p,g)he4        cf88n    9.76526000e+00  0.00000000e+00 -3.86900000e+00  1.45482000e+00  5.77246000e-01 -1.12199000e-01 -6.66667000e-01
